IssueId,ImageURL,IgnoreMe
19153,https://www.coverbrowser.com/image/scooby-doo/29-11.jpg,/images/Scooby-Doo.jpg
19154,https://www.coverbrowser.com/image/scooby-doo/29-11.jpg,/images/Scooby-Doo.jpg
19155,https://www.coverbrowser.com/image/scooby-doo/29-11.jpg,/images/Scooby-Doo.jpg
19156,https://www.coverbrowser.com/image/scooby-doo/29-11.jpg,/images/Scooby-Doo.jpg
19162,https://www.coverbrowser.com/image/french-dvds/3211-1.jpg,/images/Scratch.jpg
19163,https://www.coverbrowser.com/image/french-dvds/3211-1.jpg,/images/Scratch.jpg
19164,https://www.coverbrowser.com/image/french-dvds/3211-1.jpg,/images/Scratch.jpg
19165,https://www.coverbrowser.com/image/french-dvds/3211-1.jpg,/images/Scratch.jpg
19166,https://www.coverbrowser.com/image/french-dvds/3211-1.jpg,/images/Scratch.jpg
24007,https://www.coverbrowser.com/image/bestselling-movies-2008/245-6.jpg,/images/Shrek.jpg
24008,https://www.coverbrowser.com/image/bestselling-movies-2008/245-6.jpg,/images/Shrek.jpg
24009,https://www.coverbrowser.com/image/bestselling-movies-2008/245-6.jpg,/images/Shrek.jpg
20085,https://www.coverbrowser.com/image/role-playing-games/9809-1.jpg,/images/Silver+Age.jpg
20155,https://www.coverbrowser.com/image/tv-series/2943-1.jpg,/images/Smallville.jpg
20156,https://www.coverbrowser.com/image/tv-series/2943-1.jpg,/images/Smallville.jpg
20157,https://www.coverbrowser.com/image/tv-series/2943-1.jpg,/images/Smallville.jpg
20158,https://www.coverbrowser.com/image/tv-series/2943-1.jpg,/images/Smallville.jpg
20159,https://www.coverbrowser.com/image/tv-series/2943-1.jpg,/images/Smallville.jpg
20160,https://www.coverbrowser.com/image/tv-series/2943-1.jpg,/images/Smallville.jpg
20161,https://www.coverbrowser.com/image/tv-series/2943-1.jpg,/images/Smallville.jpg
20162,https://www.coverbrowser.com/image/tv-series/2943-1.jpg,/images/Smallville.jpg
20163,https://www.coverbrowser.com/image/tv-series/2943-1.jpg,/images/Smallville.jpg
20164,https://www.coverbrowser.com/image/tv-series/2943-1.jpg,/images/Smallville.jpg
20165,https://www.coverbrowser.com/image/tv-series/2943-1.jpg,/images/Smallville.jpg
20203,https://www.coverbrowser.com/image/italian-dvds/260-1.jpg,/images/Solo.jpg
20204,https://www.coverbrowser.com/image/italian-dvds/260-1.jpg,/images/Solo.jpg
20205,https://www.coverbrowser.com/image/italian-dvds/260-1.jpg,/images/Solo.jpg
20206,https://www.coverbrowser.com/image/italian-dvds/260-1.jpg,/images/Solo.jpg
20207,https://www.coverbrowser.com/image/italian-dvds/260-1.jpg,/images/Solo.jpg
20208,https://www.coverbrowser.com/image/italian-dvds/260-1.jpg,/images/Solo.jpg
20209,https://www.coverbrowser.com/image/italian-dvds/260-1.jpg,/images/Solo.jpg
20210,https://www.coverbrowser.com/image/italian-dvds/260-1.jpg,/images/Solo.jpg
20211,https://www.coverbrowser.com/image/italian-dvds/260-1.jpg,/images/Solo.jpg
20212,https://www.coverbrowser.com/image/italian-dvds/260-1.jpg,/images/Solo.jpg
20213,https://www.coverbrowser.com/image/italian-dvds/260-1.jpg,/images/Solo.jpg
20214,https://www.coverbrowser.com/image/italian-dvds/260-1.jpg,/images/Solo.jpg
20278,https://www.coverbrowser.com/image/bestselling-comics-2007/2519-1.jpg,/images/Space+Ghost.jpg
20279,https://www.coverbrowser.com/image/bestselling-comics-2007/2519-1.jpg,/images/Space+Ghost.jpg
20280,https://www.coverbrowser.com/image/bestselling-comics-2007/2519-1.jpg,/images/Space+Ghost.jpg
20281,https://www.coverbrowser.com/image/bestselling-comics-2007/2519-1.jpg,/images/Space+Ghost.jpg
20282,https://www.coverbrowser.com/image/bestselling-comics-2007/2519-1.jpg,/images/Space+Ghost.jpg
20283,https://www.coverbrowser.com/image/bestselling-comics-2007/2519-1.jpg,/images/Space+Ghost.jpg
24057,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24071,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24072,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24073,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24074,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24075,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24076,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24077,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24078,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24079,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24080,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24081,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24082,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24083,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24084,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24085,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24086,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24087,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24088,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24089,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24090,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24091,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24092,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24093,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24094,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24095,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24096,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24097,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24098,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24099,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24100,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24101,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
24102,https://www.coverbrowser.com/image/star-wars-dark-empire/1-1.jpg,/images/Star+Wars.jpg
20724,https://www.coverbrowser.com/image/stormwatch/26-1.jpg,/images/Stormwatch.jpg
20725,https://www.coverbrowser.com/image/stormwatch/26-1.jpg,/images/Stormwatch.jpg
